# JMH version: 1.19
# VM version: JDK 15, VM 15+36-Ubuntu-1
# VM invoker: /usr/lib/jvm/java-15-openjdk-amd64/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: nl.pim16aap2.ProtocolLibBenchmark.BenchmarkRunner.benchmarkForwardedMethods

Iteration  20: 0.201 ops/ns

# Run progress: 13.33% complete, ETA 00:52:37
# Fork: 3 of 10
# Warmup Iteration   1: 0.347 ops/ns
# Warmup Iteration   2: 0.145 ops/ns
# Warmup Iteration   3: 0.191 ops/ns
# Warmup Iteration   4: 0.200 ops/ns
# Warmup Iteration   5: 0.198 ops/ns
# Warmup Iteration   6: 0.200 ops/ns
# Warmup Iteration   7: 0.200 ops/ns
# Warmup Iteration   8: 0.200 ops/ns
# Warmup Iteration   9: 0.198 ops/ns
# Warmup Iteration  10: 0.200 ops/ns
# Warmup Iteration  11: 0.200 ops/ns
# Warmup Iteration  12: 0.201 ops/ns
# Warmup Iteration  13: 0.201 ops/ns
# Warmup Iteration  14: 0.200 ops/ns
# Warmup Iteration  15: 0.202 ops/ns
# Warmup Iteration  16: 0.201 ops/ns
# Warmup Iteration  17: 0.202 ops/ns
# Warmup Iteration  18: 0.202 ops/ns
# Warmup Iteration  19: 0.202 ops/ns
# Warmup Iteration  20: 0.195 ops/ns
Iteration   1: 0.200 ops/ns
Iteration   2: 0.200 ops/ns
Iteration   3: 0.200 ops/ns
Iteration   4: 0.199 ops/ns
Iteration   5: 0.200 ops/ns
Iteration   6: 0.200 ops/ns
Iteration   7: 0.200 ops/ns
Iteration   8: 0.200 ops/ns
Iteration   9: 0.198 ops/ns
Iteration  10: 0.199 ops/ns
Iteration  11: 0.199 ops/ns
Iteration  12: 0.200 ops/ns
Iteration  13: 0.201 ops/ns
Iteration  14: 0.201 ops/ns
Iteration  15: 0.199 ops/ns
Iteration  16: 0.201 ops/ns
Iteration  17: 0.200 ops/ns
Iteration  18: 0.200 ops/ns
Iteration  19: 0.201 ops/ns
Iteration  20: 0.201 ops/ns

# Run progress: 14.44% complete, ETA 00:51:56
# Fork: 4 of 10
# Warmup Iteration   1: 0.350 ops/ns
# Warmup Iteration   2: 0.150 ops/ns
# Warmup Iteration   3: 0.190 ops/ns
# Warmup Iteration   4: 0.199 ops/ns
# Warmup Iteration   5: 0.198 ops/ns
# Warmup Iteration   6: 0.198 ops/ns
# Warmup Iteration   7: 0.200 ops/ns
# Warmup Iteration   8: 0.198 ops/ns
# Warmup Iteration   9: 0.198 ops/ns
# Warmup Iteration  10: 0.195 ops/ns
# Warmup Iteration  11: 0.197 ops/ns
# Warmup Iteration  12: 0.199 ops/ns
# Warmup Iteration  13: 0.198 ops/ns
# Warmup Iteration  14: 0.199 ops/ns
# Warmup Iteration  15: 0.195 ops/ns
# Warmup Iteration  16: 0.198 ops/ns
# Warmup Iteration  17: 0.199 ops/ns
# Warmup Iteration  18: 0.198 ops/ns
# Warmup Iteration  19: 0.199 ops/ns
# Warmup Iteration  20: 0.199 ops/ns
Iteration   1: 0.197 ops/ns
Iteration   2: 0.200 ops/ns
Iteration   3: 0.198 ops/ns
Iteration   4: 0.198 ops/ns
Iteration   5: 0.198 ops/ns
Iteration   6: 0.198 ops/ns
Iteration   7: 0.197 ops/ns
Iteration   8: 0.197 ops/ns
Iteration   9: 0.197 ops/ns
Iteration  10: 0.197 ops/ns
Iteration  11: 0.197 ops/ns
Iteration  12: 0.199 ops/ns
Iteration  13: 0.198 ops/ns
Iteration  14: 0.196 ops/ns
Iteration  15: 0.196 ops/ns
Iteration  16: 0.199 ops/ns
Iteration  17: 0.199 ops/ns
Iteration  18: 0.199 ops/ns
Iteration  19: 0.198 ops/ns
Iteration  20: 0.196 ops/ns

# Run progress: 15.56% complete, ETA 00:51:16
# Fork: 5 of 10
# Warmup Iteration   1: 0.340 ops/ns
# Warmup Iteration   2: 0.147 ops/ns
# Warmup Iteration   3: 0.192 ops/ns
# Warmup Iteration   4: 0.196 ops/ns
# Warmup Iteration   5: 0.201 ops/ns
# Warmup Iteration   6: 0.201 ops/ns
# Warmup Iteration   7: 0.200 ops/ns
# Warmup Iteration   8: 0.200 ops/ns
# Warmup Iteration   9: 0.201 ops/ns
# Warmup Iteration  10: 0.200 ops/ns
# Warmup Iteration  11: 0.200 ops/ns
# Warmup Iteration  12: 0.199 ops/ns
# Warmup Iteration  13: 0.199 ops/ns
# Warmup Iteration  14: 0.197 ops/ns
# Warmup Iteration  15: 0.198 ops/ns
# Warmup Iteration  16: 0.200 ops/ns
# Warmup Iteration  17: 0.200 ops/ns
# Warmup Iteration  18: 0.200 ops/ns
# Warmup Iteration  19: 0.199 ops/ns
# Warmup Iteration  20: 0.200 ops/ns
Iteration   1: 0.199 ops/ns
Iteration   2: 0.200 ops/ns
Iteration   3: 0.201 ops/ns
Iteration   4: 0.200 ops/ns
Iteration   5: 0.202 ops/ns
Iteration   6: 0.202 ops/ns
Iteration   7: 0.202 ops/ns
Iteration   8: 0.199 ops/ns
Iteration   9: 0.199 ops/ns
Iteration  10: 0.199 ops/ns
Iteration  11: 0.199 ops/ns
Iteration  12: 0.197 ops/ns
Iteration  13: 0.197 ops/ns
Iteration  14: 0.199 ops/ns
Iteration  15: 0.199 ops/ns
Iteration  16: 0.199 ops/ns
Iteration  17: 0.199 ops/ns
Iteration  18: 0.199 ops/ns
Iteration  19: 0.199 ops/ns
Iteration  20: 0.200 ops/ns

# Run progress: 16.67% complete, ETA 00:50:36
# Fork: 6 of 10
# Warmup Iteration   1: 0.346 ops/ns
# Warmup Iteration   2: 0.147 ops/ns
